gu,dong,total_stores,visited_stores
강남구,개포동,2,0
강남구,논현동,11,0
강남구,대치동,14,0
강남구,도곡동,3,0
강남구,삼성동,13,0
강남구,세곡동,2,0
강남구,수서동,2,0
강남구,신사동,11,0
강남구,역삼동,28,0
강남구,청담동,8,0
강동구,강동,1,0
강동구,강일동,2,0
강동구,고덕동,1,0
강동구,길동,1,0
강동구,명일동,2,0
강동구,상일동,1,0
강동구,성내동,3,0
강동구,암사동,2,0
강동구,천호동,2,0
강북구,미아동,3,0
강북구,번동,1,0
강북구,수유동,1,0
강북구,우이동,1,0
강서구,공항동,1,0
강서구,내발산동,2,0
강서구,등촌동,5,0
강서구,마곡동,11,0
강서구,방화동,3,0
강서구,염창동,2,0
강서구,화곡동,5,0
관악구,봉천동,9,0
관악구,신림동,2,0
광진구,광장동,2,0
광진구,구의동,5,0
광진구,군자동,2,0
광진구,자양동,5,0
광진구,중곡동,2,0
광진구,화양동,4,0
구로구,고척동,1,0
구로구,구로동,7,0
구로구,신도림동,1,0
구로구,오류동,2,0
금천구,가산동,9,0
금천구,독산동,2,0
금천구,시흥동,2,0
노원구,공릉동,3,0
노원구,상계동,6,0
노원구,월계동,3,0
노원구,중계동,1,0
도봉구,도봉동,1,0
도봉구,방학동,1,0
도봉구,쌍문동,1,0
도봉구,창동,4,0
동대문구,답십리동,2,0
동대문구,신설동,1,0
동대문구,이문동,2,0
동대문구,장안동,2,0
동대문구,전농동,1,0
동대문구,제기동,1,0
동대문구,회기동,4,0
동작구,(사당동,1,0
동작구,노량진동,1,0
동작구,사당동,3,0
동작구,상도1동,1,0
동작구,상도동,4,0
동작구,흑석동,1,0
마포구,공덕동,1,0
마포구,노고산동,1,0
마포구,대흥동,1,0
마포구,도화동,3,0
마포구,동교동,5,0
마포구,망원동,1,0
마포구,상수동,2,0
마포구,상암동,5,0
마포구,서교동,3,0
마포구,성산동,1,0
마포구,신공덕동,1,0
마포구,신수동,2,0
마포구,아현동,3,0
마포구,염리동,1,0
마포구,용강동,1,0
마포구,창전동,1,0
마포구,합정동,1,0
서대문구,남가좌동,1,0
서대문구,"남가좌동, DMC에코자이104동",1,0
서대문구,대신동,1,0
서대문구,대현동,3,0
서대문구,북가좌동,1,0
서대문구,신촌동,2,0
서대문구,연희동,2,0
서대문구,창천동,6,0
서대문구,홍제동,1,0
서초구,반포동,7,0
서초구,방배동,9,0
서초구,서초동,24,0
서초구,신원동,1,0
서초구,양재동,3,0
서초구,잠원동,5,0
성동구,도선동,1,0
성동구,옥수동,1,0
성동구,하왕십리동,1,0
성동구,행당동,3,0
성북구,길음동,2,0
성북구,돈암동,1,0
성북구,장위동,1,0
성북구,종암동,2,0
성북구,하월곡동,2,0
송파구,204동,1,0
송파구,가락동,4,0
송파구,거여동,1,0
송파구,마천동,1,0
송파구,문정동,8,0
송파구,방이동,5,0
송파구,삼전동,1,0
송파구,석촌동,1,0
송파구,송파동,3,0
송파구,신천동,3,0
송파구,오금동,1,0
송파구,잠실동,5,0
양천구,1동,1,0
양천구,목동,9,0
양천구,상가A동,1,0
양천구,신월동,2,0
양천구,신정동,3,0
영등포구,신길동,2,0
영등포구,양평제1동,1,0
영등포구,여의도동,21,0
용산구,갈월동,2,0
용산구,동빙고동,1,0
용산구,동자동,2,0
용산구,서계동,1,0
용산구,이촌동,2,0
용산구,이태원동,2,0
용산구,한남동,3,0
은평구,101동,1,0
은평구,갈현동,1,0
은평구,녹번동,1,0
은평구,대조동,3,0
은평구,불광동,2,0
은평구,수색동,1,0
은평구,신사동,1,0
은평구,역촌동,1,0
은평구,응암동,2,0
은평구,진관동,2,0
종로구,B동,1,0
종로구,계동,1,0
종로구,관수동,1,0
종로구,관철동,1,0
종로구,당주동,1,0
종로구,동숭동,3,0
종로구,사직동,1,0
종로구,삼청동,1,0
종로구,서린동,1,0
종로구,수송동,3,0
종로구,연건동,1,0
종로구,예지동,1,0
종로구,인사동,1,0
종로구,인의동,2,0
종로구,재동,1,0
종로구,적선동,2,0
종로구,청진동,2,0
종로구,통의동,1,0
종로구,평동,4,0
종로구,평창동,1,0
종로구,혜화동,1,0
중구,(명동,1,0
중구,다동,1,0
중구,무교동,2,0
중구,삼각동,1,0
중구,서소문동,3,0
중구,소공동,2,0
중구,수표동,1,0
중구,순화동,2,0
중구,신당동,2,0
중구,황학동,1,0
중구,회현동,1,0
중구,흥인동,2,0
중랑구,망우동,2,0
중랑구,상봉동,2,0
